domain	intent	utterance	bio
Calendar	AddEventOnDateWithDate	poniedziałek zanotuj o nazwie spotkanie z anią	b-event_date o o o b-event_name i-event_name i-event_name
Calendar	AddEventOnDateWithDate	ten czwartek zapisz spotkanie o nazwie strzyżenie męskie	b-event_date i-event_date o o o o b-event_name i-event_name
Calendar	AddEventOnDateWithDate	ten piątek dodaj nowe spotkanie o nazwie urodziny magdy do kalendarza	b-event_date i-event_date o o o o o b-event_name i-event_name o o
Calendar	AddEventOnDateWithDate	ten poniedziałek dodaj nowe przypomnienie o nazwie urodziny taty	b-event_date i-event_date o o o o o b-event_name i-event_name
Calendar	AddEventOnDateWithDate	ten wtorek dodaj spotkanie o nazwie dzień ojca do kalendarza	b-event_date i-event_date o o o o b-event_name i-event_name o o
Calendar	AddEventOnDateWithDate	ten wtorek zanotuj w kalendarzu o nazwie kolacja z andrzejem	b-event_date i-event_date o o o o o b-event_name i-event_name i-event_name
Calendar	AddEventOnDateWithDate	tę środę dodaj przypomnienie o nazwie wstęp do filozofii do kalendarza	b-event_date i-event_date o o o o b-event_name i-event_name i-event_name o o
Calendar	AddEventOnDateWithDate	tę środę zanotuj w kalendarzu spotkanie o nazwie strzyżenie męskie	b-event_date i-event_date o o o o o o b-event_name i-event_name
Calendar	AddEventOnDateWithDate	wtorek 14 dodaj wydarzenie o nazwie strzyżenie męskie	b-event_date i-event_date o o o o b-event_name i-event_name
Calendar	AddEventOnDateWithDate	wtorek 14 zanotuj spotkanie o nazwie urodziny taty	b-event_date i-event_date o o o o b-event_name i-event_name
Calendar	AddEventOnDateWithDate	wtorek 15 zanotuj fryzjer	b-event_date i-event_date o b-event_name
Calendar	AddEventOnDateWithDate	wtorek zapisz w kalendarzu przypomnienie o nazwie 1on1	b-event_date o o o o o o b-event_name
Calendar	AddEventOnDateWithDate	środę 17 dodaj spotkanie o nazwie dzień matki	b-event_date i-event_date o o o o b-event_name i-event_name
Calendar	AddEventOnDateWithDate	środę 17 zanotuj w kalendarzu kolacja z eweliną	b-event_date i-event_date o o o b-event_name i-event_name i-event_name
Calendar	AddEventOnDateWithDate	środę 19 dodaj nowe przypomnienie o nazwie spotkanie z kubą do kalendarza	b-event_date i-event_date o o o o o b-event_name i-event_name i-event_name o o
Calendar	AddEventOnDateWithDate	środę zapisz w kalendarzu o nazwie dzień ojca	b-event_date o o o o o b-event_name i-event_name
Calendar	AddEventWithName	chcę dodać dzień ojca do kalendarza	o o b-event_name i-event_name o o
Calendar	AddEventWithName	chcę dodać nowe fryzjer do kalendarza	o o o b-event_name o o
Calendar	AddEventWithName	chcę dodać nowe przypomnienie urodziny taty do kalendarza	o o o o b-event_name i-event_name o o
Calendar	AddEventWithName	chcę dodać nowe spotkanie urodziny magdy do kalendarza	o o o o b-event_name i-event_name o o
Calendar	AddEventWithName	chcę dodać nowe wydarzenie spotkanie z anią do kalendarza	o o o o b-event_name i-event_name i-event_name o o
Calendar	AddEventWithName	chcę dodać przypomnienie 1on1 do kalendarza	o o o b-event_name o o
Calendar	AddEventWithName	chcę dodać spotkanie wstęp do filozofii do kalendarza	o o o b-event_name i-event_name i-event_name o o
Calendar	AddEventWithName	chcę dodać wydarzenie wakacje do kalendarza	o o o b-event_name o o
Calendar	AddEventWithName	dodaj nowe przypomnienie do kalendarza o nazwie dzień matki	o o o o o o o b-event_name i-event_name
Calendar	AddEventWithName	dodaj nowe przypomnienie o nazwie walentynki	o o o o o b-event_name
Calendar	AddEventWithName	dodaj nowe spotkanie do kalendarza o nazwie strzyżenie męskie	o o o o o o o b-event_name i-event_name
Calendar	AddEventWithName	dodaj nowe spotkanie o nazwie perkusja	o o o o o b-event_name
Calendar	AddEventWithName	dodaj nowe wydarzenie do kalendarza o nazwie kolacja z andrzejem	o o o o o o o b-event_name i-event_name i-event_name
Calendar	AddEventWithName	dodaj nowe wydarzenie o nazwie kolacja z eweliną	o o o o o b-event_name i-event_name i-event_name
Calendar	AddEventWithName	dodaj przypomnienie do kalendarza o nazwie spotkanie z kubą	o o o o o o b-event_name i-event_name i-event_name
Calendar	AddEventWithName	dodaj przypomnienie o nazwie urodziny taty	o o o o b-event_name i-event_name
Calendar	AddEventWithName	dodaj spotkanie do kalendarza o nazwie urodziny magdy	o o o o o o b-event_name i-event_name
Calendar	AddEventWithName	dodaj spotkanie o nazwie spotkanie z anią	o o o o b-event_name i-event_name i-event_name
Calendar	AddEventWithName	dodaj wydarzenie do kalendarza o nazwie fryzjer	o o o o o o b-event_name
Calendar	AddEventWithName	dodaj wydarzenie o nazwie 1on1	o o o o b-event_name
Calendar	AddEventWithName	muszę dodać nowe przypomnienie dzień ojca do kalendarza	o o o o b-event_name i-event_name o o
Calendar	AddEventWithName	muszę dodać nowe spotkanie dzień matki do kalendarza	o o o o b-event_name i-event_name o o
Calendar	AddEventWithName	muszę dodać nowe strzyżenie męskie do kalendarza	o o o b-event_name i-event_name o o
Calendar	AddEventWithName	muszę dodać nowe wydarzenie walentynki do kalendarza	o o o o b-event_name o o
Calendar	AddEventWithName	muszę dodać przypomnienie perkusja do kalendarza	o o o b-event_name o o
Calendar	AddEventWithName	muszę dodać spotkanie kolacja z andrzejem do kalendarza	o o o b-event_name i-event_name i-event_name o o
Calendar	AddEventWithName	muszę dodać spotkanie z kubą do kalendarza	o o b-event_name i-event_name i-event_name o o
Calendar	AddEventWithName	muszę dodać wydarzenie kolacja z eweliną do kalendarza	o o o b-event_name i-event_name i-event_name o o
Calendar	AddEventWithName	zanotuj wstęp do filozofii w kalendarzu	o b-event_name i-event_name i-event_name o o
Calendar	AddEventWithName	zapisz wakacje w kalendarzu	o b-event_name o o
Calendar	CheckCalendarOnDate	co jest zaplanowane na ten piątek	o o o o b-date i-date
Calendar	CheckCalendarOnDate	co jest zaplanowane w tę środę	o o o o b-date i-date
Calendar	CheckCalendarOnDate	czy mam spotkania na ten poniedziałek	o o o o b-date i-date
Calendar	CheckCalendarOnDate	czy mam spotkania w wtorek	o o o o b-date
Calendar	CheckCalendarOnDate	czy mam wydarzenia na poniedziałek 9	o o o o b-date i-date
Calendar	CheckCalendarOnDate	czy mam wydarzenia w następny piątek	o o o o b-date i-date
Calendar	CheckCalendarOnDate	jakie mam spotkania na środę 19	o o o o b-date i-date
Calendar	CheckCalendarOnDate	jakie mam spotkania w ten wtorek	o o o o b-date i-date
Calendar	CheckCalendarOnDate	jakie mam wydarzenia na następną środę	o o o o b-date i-date
Calendar	CheckCalendarOnDate	jakie mam wydarzenia w następną sobotę	o o o o b-date i-date
Calendar	CheckCalendarOnDate	otwórz moje spotkania	o o o
Calendar	CheckCalendarOnDate	otwórz moje wydarzenia	o o o
Calendar	CheckCalendarOnDate	otwórz plany na środę	o o o b-date
Calendar	CheckCalendarOnDate	otwórz plany w piątek 22	o o o b-date i-date
Calendar	CheckCalendarOnDate	otwórz spotkania	o o
Calendar	CheckCalendarOnDate	otwórz wydarzenia	o o
Calendar	CheckCalendarOnDate	otwórz wydarzenia na czwartek 20	o o o b-date i-date
Calendar	CheckCalendarOnDate	otwórz wydarzenia w następny czwartek	o o o b-date i-date
Calendar	CheckCalendarOnDate	pokaż moje spotkania	o o o
Calendar	CheckCalendarOnDate	pokaż moje wydarzenia	o o o
Calendar	CheckCalendarOnDate	pokaż plany na czwartek	o o o b-date
Calendar	CheckCalendarOnDate	pokaż plany w środę 17	o o o b-date i-date
Calendar	CheckCalendarOnDate	pokaż spotkania	o o
Calendar	CheckCalendarOnDate	pokaż wydarzenia	o o
Calendar	CheckCalendarOnDate	pokaż wydarzenia na wtorek 14	o o o b-date i-date
Calendar	CheckCalendarOnDate	pokaż wydarzenia w piątek	o o o b-date
Calendar	CheckCalendarOnDate	wyświetl moje spotkania	o o o
Calendar	CheckCalendarOnDate	wyświetl moje wydarzenia	o o o
Calendar	CheckCalendarOnDate	wyświetl plany na ten czwartek	o o o b-date i-date
Calendar	CheckCalendarOnDate	wyświetl plany w poniedziałek 11	o o o b-date i-date
Calendar	CheckCalendarOnDate	wyświetl spotkania	o o
Calendar	CheckCalendarOnDate	wyświetl wydarzenia	o o
Calendar	CheckCalendarOnDate	wyświetl wydarzenia na następny poniedziałek	o o o b-date i-date
Calendar	CheckCalendarOnDate	wyświetl wydarzenia w wtorek 15	o o o b-date i-date
Calendar	NotNotifyOnEventInLocation	nie mów mi kiedy spotkanie w kalendarzu w domu się rozpocznie	o o o o o o o o b-location o o
Calendar	NotNotifyOnEventInLocation	nie mów mi kiedy spotkanie w kalendarzu w pracy się zacznie	o o o o o o o o b-location o o
Calendar	NotNotifyOnEventInLocation	nie mów mi kiedy spotkanie w moim kalendarzu w domu magdy się rozpocznie	o o o o o o o o o b-location i-location o o
Calendar	NotNotifyOnEventInLocation	nie mów mi kiedy spotkanie w moim kalendarzu w domu się zacznie	o o o o o o o o o b-location o o
Calendar	NotNotifyOnEventInLocation	nie mów mi kiedy wydarzenie w kalendarzu w domu magdy się zacznie	o o o o o o o o b-location i-location o o
Calendar	NotNotifyOnEventInLocation	nie mów mi kiedy wydarzenie w kalendarzu w pracy się rozpocznie	o o o o o o o o b-location o o
Calendar	NotNotifyOnEventInLocation	nie mów mi kiedy wydarzenie w moim kalendarzu w domu się rozpocznie	o o o o o o o o o b-location o o
Calendar	NotNotifyOnEventInLocation	nie mów mi kiedy wydarzenie w moim kalendarzu w pracy się zacznie	o o o o o o o o o b-location o o
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie kiedy spotkanie w kalendarzu w domu magdy się zacznie	o o o o o o o o b-location i-location o o
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie kiedy spotkanie w kalendarzu w pracy się rozpocznie	o o o o o o o o b-location o o
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie kiedy spotkanie w moim kalendarzu w domu się rozpocznie	o o o o o o o o o b-location o o
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie kiedy spotkanie w moim kalendarzu w pracy się zacznie	o o o o o o o o o b-location o o
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie kiedy wydarzenie w kalendarzu w domu magdy się rozpocznie	o o o o o o o o b-location i-location o o
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie kiedy wydarzenie w kalendarzu w domu się zacznie	o o o o o o o o b-location o o
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie kiedy wydarzenie w moim kalendarzu w domu magdy się zacznie	o o o o o o o o o b-location i-location o o
Calendar	NotNotifyOnEventInLocation	nie powiadamiaj mnie kiedy wydarzenie w moim kalendarzu w pracy się rozpocznie	o o o o o o o o o b-location o o
Calendar	NotNotifyOnEventStart	nie mów mi kiedy spotkanie w kalendarzu się rozpocznie	o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie mów mi kiedy spotkanie w kalendarzu się zacznie	o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie mów mi kiedy spotkanie w moim kalendarzu się rozpocznie	o o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie mów mi kiedy spotkanie w moim kalendarzu się zacznie	o o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie mów mi kiedy wydarzenie w kalendarzu się rozpocznie	o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie mów mi kiedy wydarzenie w kalendarzu się zacznie	o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie mów mi kiedy wydarzenie w moim kalendarzu się rozpocznie	o o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie mów mi kiedy wydarzenie w moim kalendarzu się zacznie	o o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie powiadamiaj mnie kiedy spotkanie w kalendarzu się rozpocznie	o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie powiadamiaj mnie kiedy spotkanie w kalendarzu się zacznie	o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie powiadamiaj mnie kiedy spotkanie w moim kalendarzu się rozpocznie	o o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie powiadamiaj mnie kiedy spotkanie w moim kalendarzu się zacznie	o o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie powiadamiaj mnie kiedy wydarzenie w kalendarzu się rozpocznie	o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie powiadamiaj mnie kiedy wydarzenie w kalendarzu się zacznie	o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie powiadamiaj mnie kiedy wydarzenie w moim kalendarzu się rozpocznie	o o o o o o o o o o
Calendar	NotNotifyOnEventStart	nie powiadamiaj mnie kiedy wydarzenie w moim kalendarzu się zacznie	o o o o o o o o o o
Calendar	NotifyOnEventInLocation	powiadom mnie kiedy spotkanie w kalendarzu w domu się rozpocznie	o o o o o o o b-location o o
Calendar	NotifyOnEventInLocation	powiadom mnie kiedy spotkanie w kalendarzu w pracy się zacznie	o o o o o o o b-location o o
Calendar	NotifyOnEventInLocation	powiadom mnie kiedy spotkanie w moim kalendarzu w domu magdy się rozpocznie	o o o o o o o o b-location i-location o o
Calendar	NotifyOnEventInLocation	powiadom mnie kiedy spotkanie w moim kalendarzu w domu się zacznie	o o o o o o o o b-location o o
Calendar	NotifyOnEventInLocation	powiadom mnie kiedy wydarzenie w kalendarzu w domu magdy się zacznie	o o o o o o o b-location i-location o o
Calendar	NotifyOnEventInLocation	powiadom mnie kiedy wydarzenie w kalendarzu w pracy się rozpocznie	o o o o o o o b-location o o
Calendar	NotifyOnEventInLocation	powiadom mnie kiedy wydarzenie w moim kalendarzu w domu się rozpocznie	o o o o o o o o b-location o o
Calendar	NotifyOnEventInLocation	powiadom mnie kiedy wydarzenie w moim kalendarzu w pracy się zacznie	o o o o o o o o b-location o o
Calendar	NotifyOnEventInLocation	powiedz mi kiedy spotkanie w kalendarzu w domu magdy się rozpocznie	o o o o o o o b-location i-location o o
Calendar	NotifyOnEventInLocation	powiedz mi kiedy spotkanie w kalendarzu w domu się zacznie	o o o o o o o b-location o o
Calendar	NotifyOnEventInLocation	powiedz mi kiedy spotkanie w moim kalendarzu w domu magdy się zacznie	o o o o o o o o b-location i-location o o
Calendar	NotifyOnEventInLocation	powiedz mi kiedy spotkanie w moim kalendarzu w pracy się rozpocznie	o o o o o o o o b-location o o
Calendar	NotifyOnEventInLocation	powiedz mi kiedy wydarzenie w kalendarzu w domu się rozpocznie	o o o o o o o b-location o o
Calendar	NotifyOnEventInLocation	powiedz mi kiedy wydarzenie w kalendarzu w pracy się zacznie	o o o o o o o b-location o o
Calendar	NotifyOnEventInLocation	powiedz mi kiedy wydarzenie w moim kalendarzu w domu magdy się rozpocznie	o o o o o o o o b-location i-location o o
Calendar	NotifyOnEventInLocation	powiedz mi kiedy wydarzenie w moim kalendarzu w domu się zacznie	o o o o o o o o b-location o o
Calendar	NotifyOnEventStart	powiadom mnie kiedy spotkanie w kalendarzu się rozpocznie	o o o o o o o o
Calendar	NotifyOnEventStart	powiadom mnie kiedy spotkanie w kalendarzu się zacznie	o o o o o o o o
Calendar	NotifyOnEventStart	powiadom mnie kiedy spotkanie w moim kalendarzu się rozpocznie	o o o o o o o o o
Calendar	NotifyOnEventStart	powiadom mnie kiedy spotkanie w moim kalendarzu się zacznie	o o o o o o o o o
Calendar	NotifyOnEventStart	powiadom mnie kiedy wydarzenie w kalendarzu się rozpocznie	o o o o o o o o
Calendar	NotifyOnEventStart	powiadom mnie kiedy wydarzenie w kalendarzu się zacznie	o o o o o o o o
Calendar	NotifyOnEventStart	powiadom mnie kiedy wydarzenie w moim kalendarzu się rozpocznie	o o o o o o o o o
Calendar	NotifyOnEventStart	powiadom mnie kiedy wydarzenie w moim kalendarzu się zacznie	o o o o o o o o o
Calendar	NotifyOnEventStart	powiedz mi kiedy spotkanie w kalendarzu się rozpocznie	o o o o o o o o
Calendar	NotifyOnEventStart	powiedz mi kiedy spotkanie w kalendarzu się zacznie	o o o o o o o o
Calendar	NotifyOnEventStart	powiedz mi kiedy spotkanie w moim kalendarzu się rozpocznie	o o o o o o o o o
Calendar	NotifyOnEventStart	powiedz mi kiedy spotkanie w moim kalendarzu się zacznie	o o o o o o o o o
Calendar	NotifyOnEventStart	powiedz mi kiedy wydarzenie w kalendarzu się rozpocznie	o o o o o o o o
Calendar	NotifyOnEventStart	powiedz mi kiedy wydarzenie w kalendarzu się zacznie	o o o o o o o o
Calendar	NotifyOnEventStart	powiedz mi kiedy wydarzenie w moim kalendarzu się rozpocznie	o o o o o o o o o
Calendar	NotifyOnEventStart	powiedz mi kiedy wydarzenie w moim kalendarzu się zacznie	o o o o o o o o o
Calendar	OpenCalendar	otwórz kalendarz	o o
Calendar	OpenCalendar	otwórz mój kalendarz	o o o
